Date,Symbol,Exchange,Action,Quantity,Price,Fees,Bonus/Split Extra Units,Linked Account,Asset Type,Notes
2025-12-21,AXIS_BLUECHIP_FUND,NSE,BUY,10,50,0,,Zerodha,Mutual Fund,BUY order #1
2025-12-23,TCS,NSE,BUY,2,545,1,,Upstox,Stock,BUY order #2
2025-12-25,INFY,NSE,BUY,3,590,1,,Zerodha,Stock,BUY order #3
2025-12-27,HDFCBANK,NSE,BUY,4,635,1,,Upstox,Stock,BUY order #4
2025-12-29,ICICIBANK,NSE,BUY,5,680,2,,Zerodha,Stock,BUY order #5
2025-12-31,SBIN,NSE,BUY,6,725,2,,Upstox,Stock,BUY order #6
2026-01-02,AXIS_BLUECHIP_FUND,NSE,BUY,16,65,1,,Zerodha,Mutual Fund,BUY order #7
2026-01-04,LT,NSE,BUY,8,815,3,,Upstox,Stock,BUY order #8
2026-01-06,WIPRO,NSE,SELL,9,860,4,,Zerodha,Stock,SELL order #9
2026-01-08,HINDUNILVR,NSE,BUY,10,905,5,,Upstox,Stock,BUY order #10
2026-01-10,RELIANCE,NSE,BUY,1,950,0,,Zerodha,Stock,BUY order #11
2026-01-12,TCS,NSE,BUY,2,995,1,,Upstox,Stock,BUY order #12
2026-01-14,AXIS_BLUECHIP_FUND,NSE,BUY,22,80,1,,Zerodha,Mutual Fund,BUY order #13
2026-01-16,HDFCBANK,NSE,BUY,4,1085,2,,Upstox,Stock,BUY order #14
2026-01-18,ICICIBANK,NSE,BUY,5,1130,3,,Zerodha,Stock,BUY order #15
2026-01-20,SBIN,NSE,BUY,6,1175,4,,Upstox,Stock,BUY order #16
2026-01-22,ITC,NSE,BUY,7,1220,4,,Zerodha,Stock,BUY order #17
2026-01-24,LT,NSE,SELL,8,1265,5,,Upstox,Stock,SELL order #18
2026-01-26,AXIS_BLUECHIP_FUND,NSE,BUY,13,95,1,,Zerodha,Mutual Fund,BUY order #19
2026-01-28,HINDUNILVR,NSE,DIVIDEND,0,0,0,,Upstox,Stock,Dividend received for HINDUNILVR
2026-01-30,RELIANCE,NSE,BUY,1,1400,1,,Zerodha,Stock,BUY order #21
2026-02-01,TCS,NSE,BUY,2,1445,1,,Upstox,Stock,BUY order #22
2026-02-03,INFY,NSE,BUY,3,1490,2,,Zerodha,Stock,BUY order #23
2026-02-05,HDFCBANK,NSE,BUY,4,1535,3,,Upstox,Stock,BUY order #24
2026-02-07,AXIS_BLUECHIP_FUND,NSE,BUY,19,110,1,,Zerodha,Mutual Fund,BUY order #25
2026-02-09,SBIN,NSE,BUY,6,1625,5,,Upstox,Stock,BUY order #26
2026-02-11,ITC,NSE,SELL,7,1670,6,,Zerodha,Stock,SELL order #27
2026-02-13,LT,NSE,BUY,8,1715,7,,Upstox,Stock,BUY order #28
2026-02-15,WIPRO,NSE,BUY,9,1760,8,,Zerodha,Stock,BUY order #29
2026-02-17,HINDUNILVR,NSE,BUY,10,1805,9,,Upstox,Stock,BUY order #30
2026-02-19,AXIS_BLUECHIP_FUND,NSE,BUY,10,50,0,,Zerodha,Mutual Fund,BUY order #31
2026-02-21,TCS,NSE,BUY,2,1895,2,,Upstox,Stock,BUY order #32
2026-02-23,INFY,NSE,BUY,3,1940,3,,Zerodha,Stock,BUY order #33
2026-02-25,HDFCBANK,NSE,BUY,4,1985,4,,Upstox,Stock,BUY order #34
2026-02-27,ICICIBANK,NSE,BUY,5,2030,5,,Zerodha,Stock,BUY order #35
2026-03-01,SBIN,NSE,SELL,6,2075,6,,Upstox,Stock,SELL order #36
2026-03-03,AXIS_BLUECHIP_FUND,NSE,BUY,16,65,1,,Zerodha,Mutual Fund,BUY order #37
2026-03-05,LT,NSE,BUY,8,2165,9,,Upstox,Stock,BUY order #38
